"Real Value Added by Industry"
"[Billions of chained (2012) dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Release Date: November 01, 2018"
"Line","","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018"
"Line","","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II"
"    1","    Gross domestic product",16621.7,16830.1,17033.6,17113.9,17254.7,17397.0,17438.8,17456.2,17523.4,17622.5,17706.7,17784.2,17863.0,17995.2,18120.8,18223.8,18324.0,18511.6
"    2","Private industries",14409.0,14609.5,14819.8,14889.2,15019.7,15152.5,15191.0,15197.7,15268.2,15367.2,15427.4,15487.5,15551.3,15668.7,15781.4,15871.9,15963.5,16138.0
"    3","  Agriculture, forestry, fishing, and hunting",204.1,208.2,211.7,218.1,220.3,221.5,228.6,227.9,232.7,236.1,235.5,232.6,229.8,225.2,219.9,217.1,212.5,216.9
"    4","    Farms",174.6,178.3,181.1,187.3,190.8,189.8,195.7,196.1,199.5,205.7,208.2,199.7,196.8,192.8,187.3,183.7,178.3,183.5
"    5","    Forestry, fishing, and related activities",29.4,29.8,30.5,30.9,30.1,31.7,32.8,32.1,33.1,31.6,29.9,32.8,32.7,32.2,32.0,32.4,32.6,32.4
"    6","  Mining",376.9,396.4,418.6,448.0,467.6,423.5,440.1,446.1,472.8,417.0,404.3,398.3,402.5,430.5,445.0,439.3,418.1,429.8
"    7","    Oil and gas extraction",234.5,247.8,270.3,309.9,362.8,321.3,355.6,376.7,445.6,374.4,352.9,340.5,338.5,362.6,381.4,369.9,340.3,346.9
"    8","    Mining, except oil and gas",67.3,67.9,66.8,65.0,64.6,63.1,63.8,63.5,61.9,61.8,63.0,63.7,64.4,68.1,66.1,67.2,66.7,68.6
"    9","    Support activities for mining",74.0,78.6,78.6,73.4,60.0,54.6,48.5,43.5,36.1,30.7,30.6,31.7,35.0,38.1,40.1,41.3,43.5,46.4
"    10","  Utilities",256.6,262.2,272.1,269.1,252.5,265.8,268.6,266.9,273.6,276.3,279.2,277.5,270.1,276.2,271.7,277.3,272.2,284.3
"    11","  Construction",567.2,574.9,574.7,582.1,586.6,599.0,603.4,606.5,618.1,616.8,619.4,621.5,623.8,619.4,620.9,631.0,637.3,641.4
"    12","  Manufacturing",1981.1,2013.0,2022.5,2006.7,2034.8,2027.3,2017.3,1987.5,1997.5,1999.1,1995.5,1980.2,2017.8,2035.3,2040.0,2073.9,2113.8,2125.8
"    13","    Durable goods",1071.4,1089.2,1115.8,1110.4,1112.6,1113.3,1113.3,1103.4,1100.7,1103.1,1109.5,1107.9,1117.3,1129.9,1146.9,1166.3,1179.8,1200.7
"    14","      Wood products",24.6,24.4,23.6,23.5,24.5,25.1,26.5,26.5,26.9,26.9,27.1,27.7,28.9,28.8,28.6,28.9,28.3,27.1
"    15","      Nonmetallic mineral products",44.8,45.5,45.7,45.7,45.4,44.6,45.7,45.7,45.6,45.9,45.4,45.0,45.6,46.0,46.1,46.9,45.1,46.5
"    16","      Primary metals",67.1,68.3,67.7,65.9,68.8,73.1,74.5,78.0,81.3,78.3,74.5,75.4,70.7,68.4,66.7,68.6,67.9,61.9
"    17","      Fabricated metal products",135.7,137.1,140.6,140.1,136.9,133.5,131.1,126.8,124.7,126.7,128.5,129.6,133.1,136.2,140.0,142.2,143.8,147.6
"    18","      Machinery",146.5,150.4,152.3,147.3,142.8,136.1,132.8,127.6,123.6,122.5,121.8,120.8,124.4,127.3,131.7,132.0,137.2,141.4
"    19","      Computer and electronic products",250.9,253.5,263.5,266.7,275.2,281.6,282.5,286.6,289.3,290.8,294.1,296.5,297.1,299.3,304.9,309.5,314.1,318.0
"    20","      Electrical equipment, appliances, and components",52.4,52.0,53.5,54.7,58.8,61.2,60.9,59.3,55.9,55.5,55.1,53.8,55.3,56.9,56.6,57.2,58.1,58.7
"    21","      Motor vehicles, bodies and trailers, and parts",118.0,123.7,127.8,125.2,120.1,120.9,120.2,118.9,121.8,122.8,126.2,124.3,125.0,127.2,128.8,133.8,137.8,143.7
"    22","      Other transportation equipment",128.0,129.7,135.3,136.6,138.5,138.2,139.6,135.7,134.6,133.3,134.1,132.7,132.6,133.4,135.4,136.8,136.9,142.1
"    23","      Furniture and related products",24.6,25.0,25.6,26.1,26.6,26.7,27.1,26.7,26.7,27.1,27.4,27.8,28.1,28.1,28.7,29.2,29.0,29.7
"    24","      Miscellaneous manufacturing",79.4,80.1,81.1,79.8,77.8,76.6,77.2,78.7,78.9,81.0,81.6,81.5,81.8,82.7,83.5,85.1,85.7,87.0
"    25","    Nondurable goods",910.1,924.1,906.6,896.2,922.1,914.0,903.9,884.0,897.0,895.8,885.4,871.4,900.0,904.8,892.3,906.8,933.2,924.4
"    26","      Food and beverage and tobacco products",224.4,223.7,222.7,225.7,225.3,231.2,232.6,225.0,220.0,219.1,219.6,218.9,227.5,231.5,235.2,238.1,240.0,240.7
"    27","      Textile mills and textile product mills",17.3,17.7,17.8,17.5,17.1,16.9,16.9,16.6,16.3,16.5,16.7,16.8,17.0,17.1,17.5,17.7,17.4,17.5
"    28","      Apparel and leather and allied products",9.9,9.6,9.6,9.5,9.1,9.1,9.3,9.0,8.8,8.7,8.6,8.7,8.5,8.4,8.5,8.5,8.4,8.5
"    29","      Paper products",52.8,52.9,54.0,53.9,53.4,53.4,53.5,52.9,52.1,52.5,51.8,51.1,50.5,50.6,49.9,51.5,52.5,51.9
"    30","      Printing and related support activities",38.3,39.0,38.8,38.2,36.9,37.2,37.3,37.4,36.9,37.0,36.9,36.8,36.3,35.9,36.3,36.4,36.8,37.3
"    31","      Petroleum and coal products",189.9,209.9,190.5,179.3,219.0,205.0,183.9,175.3,197.8,185.9,164.6,157.3,188.7,192.3,161.8,170.1,204.1,182.5
"    32","      Chemical products",315.9,313.9,309.3,304.4,303.2,296.2,298.9,295.7,302.7,305.1,303.9,295.2,296.8,295.6,298.1,299.3,298.8,304.0
"    33","      Plastics and rubber products",65.2,64.9,67.6,68.9,69.1,71.7,73.5,73.0,72.3,73.2,74.0,75.2,76.7,76.8,76.3,78.0,77.5,78.0
"    34","  Wholesale trade",1024.8,1046.9,1083.3,1088.8,1095.8,1113.5,1104.6,1101.2,1077.0,1087.0,1101.9,1099.2,1103.9,1111.6,1116.3,1127.1,1129.5,1136.7
"    35","  Retail trade",942.0,952.2,957.8,951.9,967.7,979.2,991.7,991.5,1009.6,1014.0,1022.4,1034.8,1038.3,1054.1,1074.2,1077.4,1097.3,1094.5
"    36","    Motor vehicle and parts dealers",179.0,186.5,190.3,193.2,195.0,199.8,206.5,210.9,219.3,224.6,228.2,232.6,234.4,240.3,243.6,249.8,254.9,251.5
"    37","    Food and beverage stores",133.9,127.9,130.2,128.9,128.8,127.2,127.5,123.6,122.0,121.9,122.2,123.7,123.3,124.4,125.6,127.2,125.0,124.1
"    38","    General merchandise stores",135.3,143.8,144.7,134.7,137.3,141.5,150.6,150.7,145.2,143.2,146.4,148.0,147.6,150.2,152.7,153.1,158.1,158.1
"    39","    Other retail",494.0,495.0,493.7,496.1,507.5,512.1,509.6,509.8,527.0,528.8,530.6,535.8,538.7,545.4,558.6,554.5,567.5,568.6
"    40","  Transportation and warehousing",481.4,487.2,499.9,498.6,492.8,504.8,511.7,507.7,498.9,510.8,512.0,519.3,524.4,529.8,534.6,534.3,542.7,542.4
"    41","    Air transportation",95.8,95.0,95.7,94.4,93.7,99.0,104.7,106.7,103.1,112.2,112.4,114.1,114.2,115.3,120.2,117.8,124.8,119.9
"    42","    Rail transportation",38.9,40.2,41.2,40.9,40.2,40.9,40.3,38.5,36.9,36.5,37.1,37.4,37.4,37.0,36.7,37.2,37.5,38.1
"    43","    Water transportation",15.7,15.2,15.2,14.7,13.2,13.2,12.9,12.4,12.0,11.1,11.0,10.5,10.4,10.2,10.5,10.5,10.4,10.6
"    44","    Truck transportation",128.5,130.0,134.0,134.9,128.9,131.9,134.1,130.6,126.7,128.3,129.1,129.2,131.4,134.0,132.2,132.8,131.4,131.0
"    45","    Transit and ground passenger transportation",36.8,38.3,40.4,39.5,38.9,38.7,37.6,37.2,36.3,36.6,36.8,37.5,38.0,38.3,40.1,39.3,39.0,40.3
